id	Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE
TCGA-19-2619	0	0	0.30381441566037	0.537182604580951	0	0	0	0	0.156169894197628	0.00283308556105013	0	0	0.67	-0.0246637169511413	1.1608234866019
TCGA-19-2620	0	0.144259018961293	0	0	0.719008361732898	0	0	0.0534600011180289	0.0832726181877807	0	0	0	0.66	-0.0184841116011593	1.21982168108162
TCGA-19-2624	0	0.121019520004234	0	0.316811488968548	0.318243209627191	0	0	0.0484862924179041	0.177229824101103	0	0.0182096648810209	0	0.87	-0.0536119490071209	1.19847735126342
TCGA-19-2625	0	0.144739480111953	0	0	0.615534087290721	0	0	0.0240008347015492	0.0201252006742556	0.195600397221521	0	0	0.69	-0.0312331492796589	1.22231247276515
TCGA-19-2629	0	0.188751304374111	0	0.281035194194613	0.232719443770973	0	0	0	0.146690348843589	0.145078001761578	0	0.00572570705513577	0.79	-0.0427718079548096	1.22205199865525
TCGA-19-4065	0	0.155662845218144	0	0.163577667666941	0.236864350566041	0	0	0	0.142310491962256	0.301584644586617	0	0	0.43	0.0280043003718476	1.15737859684227
TCGA-19-5960	0	0.157374711794938	0	0.428683981434375	0.147870142046698	0	0	0	0.263792973348907	0	0.00227819137508117	0	0.73	-0.0374983870767097	1.19610293992546
TCGA-26-1442	0	0.210700276033921	0	0.0438210260208526	0.656386106887253	0	0	0.0433580823803815	0.0457345086775918	0	0	0	0.64	-0.0146558536399599	1.27148461185125
TCGA-26-5132	0	0.127266508492326	0	0.0310033146155177	0.572262527719179	0	0	0.0491094817190612	0.138731081369077	0.0816270860848394	0	0	0.67	-0.0260706035818035	1.18704733783198
TCGA-26-5133	0	0.0289390838838271	0	0.215716835089348	0.598346513771435	0	0	0.019367287059111	0.137630280196279	0	0	0	0.88	-0.0584335741274757	1.17182204804176
TCGA-26-5134	0	0.0186164432348648	0	0.197903978884985	0.62755953912625	0	0	0	0.1559200387539	0	0	0	0.68	-0.0278777697614633	1.15126782275509
TCGA-26-5135	0	0	0	0.324964946357376	0.186147874534154	0.120703395906059	0	0	0.263827709027366	0.104356074175045	0	0	0.64	-0.014761763237889	1.09764860754678
TCGA-26-5136	0	0.0982583822793227	0	0.286280079106045	0.258014042176266	0	0	0	0.0864953930514527	0.270952103386914	0	0	0.46	0.0146375661943792	1.15536430801899
TCGA-26-5139	0	0.0656073995404547	0	0	0.627569397698682	0	0	0.0339395235552498	0.0204351989938885	0.252448480211725	0	0	0.64	-0.0147822473004747	1.17530965102544
TCGA-27-1830	0	0.0374667667262057	0.232690874142269	0.472557891748415	0.0130711359463953	0	0	0	0.137542257011387	0	0.106671074425327	0	0.45	0.0161965184886869	1.14332727375631
TCGA-27-1831	0.00754351289985595	0.100180741788499	0	0	0.604672928421145	0	0	0.0331804190415779	0.0635262095038554	0.190896188345066	0	0	0.19	0.113706777780887	1.11383043798491
TCGA-27-1832	0	0.121286763698174	0.303171835436126	0.245290790631537	0.129702534578018	0	0	0	0.160718018579469	0.0041187546348996	0.0357113024417775	0	0.26	0.0727139965566571	1.16496589318096
TCGA-27-1834	0	0.17751961794799	0	0.280734253389843	0.378195103350204	0	0	0.0432613761357631	0.0776398481062441	0.0426498010699552	0	0	0.63	-0.013641775359566	1.2323903034871
TCGA-27-1835	0	0.200314288734375	0.0776857527912023	0.257233778915056	0.307242308747642	0	0	0.0164288047602611	0.12634789478176	0	0.0147471712697043	0	0.67	-0.0232693592110732	1.25524411802781
TCGA-27-1837	0	0	0.0316480837716122	0.2618925817933	0.401022803882146	0	0	0.00845602289555507	0.107854607710336	0.18912589994705	0	0	0.72	-0.0347546183818756	1.14388512716882
TCGA-27-2519	0	0.185609793123649	0	0.232782269319256	0.500158637130939	0	0	0.0260242352741072	0.0554250651520485	0	0	0	0.25	0.0865456413303407	1.19269504780738
TCGA-27-2521	0	0.00469496101630567	0.224668768665293	0.043684229079402	0.317034724738818	0.0110723182161861	0.0186923497545671	0	0.0697779745771147	0.310374673952313	0	0	0.97	-0.100614899158767	1.18307293976126
TCGA-27-2523	0	0.0012366184044326	0.154736734416261	0.156659951696176	0.620014008602087	0	0	0	0.0673526868810426	0	0	0	0.75	-0.0385386632318027	1.17724015344474
TCGA-27-2524	0.316841704501076	0.0316471112119347	0	0	0.523837285065621	0	0	0.0484599718934929	0.0790978390216487	0	0	0.000116088306227151	0.07	0.292288510631748	1.14679697782347
TCGA-27-2526	0	0.0798178446679603	0	0	0.620838396227235	0	0	0.0690116027031242	0	0.230332156401681	0	0	0.51	0.00486540243157927	1.17195771088785
TCGA-27-2528	0	0.112059379640719	0	0.212161223339572	0.486395580970876	0	0	0.0560338425408218	0.133349973508011	0	0	0	0.67	-0.0260238840316547	1.19190130435128
TCGA-28-1747	0	0.14135235909976	0	0.21590752376456	0.349437894749184	0	0	0.0455767961859322	0.0442116563301432	0.203270788695032	0	0.000242981175389131	0.67	-0.026634047635862	1.20645252260236
TCGA-28-1753	0	0.136972413672616	0.298398263271271	0.250285896900993	0.193114905656841	0	0	0	0.0692666389807297	0	0.0266854749149593	0.0252764066025907	0.64	-0.0143975661572393	1.24531779903903
TCGA-28-2499	0	0.0859431207907894	0	0.339279153140523	0.225423476125318	0	0	0.0377770742973089	0.0908485947794125	0.220728580866648	0	0	0.69	-0.0296844328438026	1.1696932339695
TCGA-28-2509	0	0.135149472559923	0	0	0.580374866955977	0	0	0	0.105507641484823	0.178968018999278	0	0	0.82	-0.0485886164125777	1.20659284924855
