GeneSymbol	GSM1008060	GSM1008061	GSM1008062	GSM1008063	GSM1008064	GSM1008065	GSM1008066	GSM1008067	GSM1008068	GSM1008069	GSM1008070	GSM1008071	GSM1008072	GSM1008073	GSM1008074	GSM1008075	GSM1008076	GSM1008077	GSM1008078	GSM1008079	GSM1008080	GSM1008081	GSM1008082	GSM1008083	GSM1008084	GSM1008085	GSM1008086
SPIB	215.83906	205.17938	321.89181	234.64189	278.82086	153.66167	145.24468	105.15347	175.20429	278.07359	206.19864	167.65896	241.63604	166.76316	143.21387	170.32566	174.56014	184.1257	332.3263	123.88691	165.52277	262.98719	169.18239	88.54486	163.63737	127.43308	82.49974
SPOCK2	553.28791	1044.04913	1079.32731	526.50981	762.19665	888.37316	837.39027	544.93109	863.76631	865.28816	962.70894	882.09571	668.8995	707.55853	802.68707	978.60371	909.72279	647.27325	956.95146	529.54228	699.28485	1154.25229	922.67644	547.42865	889.92807	565.20079	469.97758
SSB	342.31022	450.78608	542.3744	670.11872	576.80875	448.43641	440.43582	1038.53111	361.71567	504.76925	322.72379	324.70656	603.64139	384.58413	379.86332	324.19423	286.44583	396.92132	401.75484	362.06831	383.72696	858.1795	645.74055	390.65681	452.35418	319.10202	351.91865
SSX1	2.62631	3.03666	1.48245	1.95525	2.41384	2.09988	13.45173	6.96815	0.98782	1.11017	2.03987	1.55444	0.00311	5.28014	2.11202	0.52243	2.8098	0.0396	1.21497	1.51049	4.50634	4.23511	2.22215	5.15752	4.60314	4.02862	3.09122
ST3GAL6	296.84687	158.34458	227.13073	362.47963	220.8418	188.53815	238.45026	468.56174	218.8454	251.25845	170.45835	177.20652	258.11456	164.14914	195.0891	147.30712	132.70434	282.73397	204.63458	211.27261	212.71407	198.56064	133.04816	273.65614	230.34452	186.53204	450.94448
ST6GALNAC4	608.78744	471.66426	351.45766	232.50097	302.52554	228.61466	246.19966	186.32591	272.71086	379.89521	359.67755	412.00281	350.28281	230.52729	389.72774	293.06637	320.97404	363.34144	597.29008	383.76786	433.16735	283.63075	413.82977	368.76732	450.48273	268.26858	182.73482
ST8SIA1	76.45713	91.07041	104.17522	95.11638	84.14919	80.80371	98.25215	74.7927	76.68397	85.9651	92.44702	78.75877	76.57265	79.20591	89.7825	76.29056	82.81945	89.44544	84.52963	87.22371	86.78202	112.59634	88.36975	62.02352	86.22956	77.11672	64.24841
STAB2	76.86831	64.97271	57.17661	56.87437	55.2919	66.01641	51.74536	61.51006	62.48951	59.08149	70.77989	63.83915	56.88706	71.82695	64.02849	66.28414	66.6632	63.33554	60.30922	79.66927	64.88683	52.44578	63.50458	64.73122	65.20487	71.47776	64.1686
STAP1	26.24089	49.80504	71.28481	67.49774	85.95756	28.45419	68.99635	80.10275	25.72238	58.64964	31.52274	31.01252	47.63749	44.35725	49.27144	41.16452	39.02457	31.60387	37.2863	27.90214	25.57078	62.13146	41.00724	27.69291	54.40931	109.1085	34.55098
STEAP4	1169.69157	1144.28492	1070.87523	744.43299	1119.36509	682.86119	1928.83415	1132.85155	538.63315	1237.26336	388.74295	1195.38772	744.99964	1006.16023	1205.1942	621.16529	645.24019	1077.77169	1403.2711	1094.85	1929.98875	881.57794	523.26741	1366.83344	1126.47612	1169.14454	2420.12804
STOM	724.15054	761.4266	994.45246	969.82044	1781.45158	687.75101	1065.46652	1358.86466	729.32327	1096.22963	862.0968	985.00856	1168.59222	592.40077	1246.07575	843.84702	712.643	935.29218	2347.39017	883.01343	1190.43299	956.5201	1494.41602	2415.04988	1021.20686	869.8435	1861.68163
STON2	63.34581	52.75933	38.74697	65.7036	71.14463	60.34528	73.96932	34.96238	58.36089	60.83291	68.45305	63.47905	79.96444	49.07911	71.07912	87.18039	58.67425	51.17861	365.19592	55.74559	41.12045	38.94167	80.9462	213.18734	128.84669	58.80917	83.13005
STXBP6	74.6324	71.38913	62.9546	62.05759	55.60235	65.17783	42.89681	59.53631	62.01995	69.19123	71.58722	64.84733	59.53782	91.08548	74.59046	71.62374	64.14596	70.23278	70.33266	73.34356	68.09874	52.52923	65.78161	64.61472	63.86584	84.36885	70.49276
SUCNR1	15.20582	12.84803	13.44559	14.15081	20.36196	11.24781	12.74424	16.31847	7.09752	20.24251	10.86958	14.17016	20.23913	11.41617	11.89918	13.57103	4.4936	11.53001	59.24273	18.88266	12.61577	10.19605	17.37384	43.26491	19.70088	11.4815	28.64332
SYN2	103.10793	110.73227	99.76102	119.19678	107.81612	116.66473	99.13617	121.70943	110.98396	130.86717	116.63474	141.59236	98.26214	135.36805	121.74047	129.05748	120.0985	105.55941	109.42507	151.39794	115.34141	104.21608	124.8962	119.29017	107.72969	120.58503	108.82129
SYNE1	243.88005	274.71647	238.46713	423.74306	363.23365	393.33373	479.3918	207.43111	485.60949	272.73332	485.85682	206.30366	303.88641	181.18169	324.83058	226.30963	279.1996	331.71262	294.55073	378.24405	281.07741	309.19297	230.57036	309.44736	406.18045	201.08375	159.33734
TAGLN	78.89775	60.9293	60.17174	52.54553	59.6678	61.3936	57.97807	62.89211	76.96985	81.03977	109.71995	68.10233	73.04816	56.45583	60.13893	57.49053	79.81328	60.47294	79.83026	78.78338	59.03832	60.62737	72.00803	56.92503	45.80665	64.69426	54.41924
