gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
OAS2	-0.399056003811997	2.26268616093371	-0.399993323728439	-0.229683619718239	-0.420969657833026	-0.389612280066023	-0.423371275775983	DCs	1
OASL	-0.357016474038474	2.2675411617519	-0.403089398010426	-0.366086367702071	-0.384474144183303	-0.373644507387085	-0.38323027043054	DCs	1
SAMD9	-0.382860198689724	2.26496187130808	-0.385710504803018	-0.27023238058324	-0.394449830676167	-0.423172046884616	-0.408536909671319	DCs	1
HERC5	-0.384605401915107	2.26761349730207	-0.382877232091293	-0.351870428612673	-0.385945158104967	-0.387637714232248	-0.374677562345781	DCs	1
GPR180	-0.238996532081779	2.25485532815873	-0.48298887484425	-0.445365312653249	-0.497916665841335	-0.244041559823445	-0.345546382914672	DCs	1
FAM46A	-0.391258224436103	2.25261408419522	-0.350336612448622	-0.14555691125566	-0.450811974139252	-0.517325825773868	-0.397324536141716	DCs	1
SIGLEC1	-0.448379995350534	2.26256297027633	-0.459940197622464	-0.277210232247722	-0.334111735209765	-0.414919412022093	-0.328001397823754	DCs	1
MX1	-0.379599273975947	2.26756111289202	-0.377116528306428	-0.356422325423082	-0.365626410453745	-0.390241946514678	-0.398554628218139	DCs	1
TDRD7	-0.40339154854831	2.26235455524815	-0.250642796719975	-0.321380810937095	-0.418177564681184	-0.416028128602469	-0.452733705759118	DCs	1
IFITM3	-0.393623436262739	2.26618503802811	-0.398389336304093	-0.3160649063942	-0.341230573454091	-0.388782225696284	-0.428094559916706	DCs	1
NT5C3A	-0.386446519466763	2.26760330203711	-0.371943575525813	-0.363202332206253	-0.363253550576333	-0.39724118455088	-0.385516139711071	DCs	1
TRIM14	-0.328092413238079	2.26220621532802	-0.397527711578115	-0.245086644525985	-0.412118661221353	-0.449323400114932	-0.430057384649558	DCs	1
IFI27	-0.398352042289461	2.26683383162741	-0.393402404774632	-0.319317826148148	-0.392361355925219	-0.400585754667964	-0.362814447821988	DCs	1
MX2	-0.383961127129091	2.26746582639073	-0.36950844978297	-0.35338510338873	-0.364634953943562	-0.399905695685421	-0.396070496460955	DCs	1
IFIH1	-0.364197096609478	2.25677198640444	-0.441085802674801	-0.164541976657093	-0.411798835203829	-0.447305434512851	-0.427842840746386	DCs	1
TNFSF10	-0.40316099567938	2.26561207709458	-0.393181011475836	-0.285456921625553	-0.365977901419275	-0.405827644636848	-0.412007602257691	DCs	1
OAS1	-0.366222118985079	2.26632106996974	-0.371022882112643	-0.310293045231696	-0.426031042894943	-0.396137863360581	-0.396614117384797	DCs	1
CMPK2	-0.39573310793285	2.26636161363446	-0.387073073353974	-0.301361654411685	-0.375900702277012	-0.403554437588093	-0.402738638070851	DCs	1
EXOSC9	-0.478867018397177	2.24807503490587	-0.141093959027105	-0.302099839055787	-0.425189395030843	-0.352574547800282	-0.548250275594673	DCs	1
CMTR1	-0.546180704834615	2.19742671252409	0.0010002609981611	-0.132848718206921	-0.477799177603606	-0.72646524950179	-0.315133123375316	DCs	1
JUP	-0.363683574953483	2.2300499098566	-0.219202980559213	-0.334974279209505	-0.762966695196627	-0.248029681846134	-0.301192698091633	DCs	1
SLFN5	-0.537554511986133	2.22915534603309	-0.0608922919715221	-0.184675214785832	-0.4835672786621	-0.540735223200571	-0.421730825426928	DCs	1
HERC6	-0.489397994133003	2.25570716791506	-0.225544620018329	-0.245715145190469	-0.466828058002614	-0.406213547610598	-0.422007802960043	DCs	1
NCOA7	-0.385864158083083	2.24732755403313	-0.18719162806987	-0.240440191136251	-0.508005076183445	-0.565697036110079	-0.360129464450403	DCs	1
CPEB2	-0.583054471060426	2.21443197769846	-0.11949655430729	-0.386218071616373	-0.708265588263593	-0.254219417295034	-0.163177875155744	DCs	1
ADAR	-0.407392965333303	2.23101762819484	-0.490506973367607	0.0233629874594763	-0.459504730839254	-0.480275334996914	-0.416700611117237	DCs	1
TRIM21	-0.370858221388578	2.20304161370621	-0.465630341329075	0.146700447499967	-0.560213502588802	-0.51365089121443	-0.43938910468529	DCs	1
GCH1	-0.426801173948231	2.18169871206613	-0.50232038685125	0.242941930014474	-0.473020657547941	-0.501634651441324	-0.52086377229186	DCs	1
SAMD9L	-0.465498045101853	2.22845873057028	-0.404955778458311	0.0394494982699612	-0.45669819774086	-0.452302624531736	-0.488453583007487	DCs	1
JADE2	-0.297540825948447	2.2145877458106	-0.592489096940118	0.069813819670333	-0.509328951735928	-0.435925506060551	-0.44911718479589	DCs	1
ATF3	-0.408868098170247	2.21507492235378	-0.488593076156121	0.0798809496255368	-0.606012495651607	-0.377131647100539	-0.414350554900804	DCs	1
DUSP5	-0.443336405227125	2.22050129720029	-0.475873618504716	0.0830066148845242	-0.46909504978336	-0.439814648434213	-0.475388190135398	DCs	1
ITSN1	-0.305996382496539	2.22092812072285	-0.535656851779041	-0.0631947034408434	-0.685798168583919	-0.398734745599282	-0.231547268823229	DCs	1
ST3GAL5	-0.316699926769089	2.21222618079978	-0.395488747963308	0.0738485666406127	-0.631486872703652	-0.494196603356518	-0.448202596647827	DCs	1
RNF213	-0.483524432839871	2.22013870688351	-0.472488004566903	0.0786580784177682	-0.425430034472497	-0.403922910865325	-0.513431402556682	DCs	1
EPSTI1	-0.418725715217581	2.21800479463148	-0.422541231909008	0.0909574471690141	-0.477626730012078	-0.50069033929638	-0.489378225365451	DCs	1
PML	-0.452576261682404	2.22492593391464	-0.476416986698385	0.0572706795053607	-0.402302290404751	-0.457110958880235	-0.493790115754222	DCs	1
APOBEC3G	-0.433246228487091	2.2305536297993	-0.466824163764029	0.0210017007764227	-0.528881265143321	-0.427247754503201	-0.395355918678076	DCs	1
TRIM5	-0.451885156414138	2.24365103055386	-0.358346940718098	-0.0685103842866003	-0.514113975701246	-0.390149785198805	-0.460644788234972	DCs	1
XAF1	-0.479671291851178	2.23224564854324	-0.388147609404495	0.0158208590860751	-0.466634581393014	-0.434515956126714	-0.479097068853911	DCs	1
SAMD4A	-0.25133904756575	2.22046851175165	-0.42001159585389	-0.0626983084988396	-0.508574838337036	-0.700191072439304	-0.277653649056828	DCs	1
MAML2	-0.341683495198322	2.17307659244909	-0.630235290168535	0.206770307029772	-0.565331406039687	-0.268891289347625	-0.573705418724692	DCs	1
MASTL	-0.602568289191559	2.2359138704784	-0.412421199564919	-0.0606300057644217	-0.484118667004143	-0.317403333907602	-0.358772375045755	DCs	1
RTP4	-0.462769068057458	2.24137117969425	-0.426851827884761	-0.0347022763850747	-0.421187443598455	-0.450313140204202	-0.445547423564302	DCs	1
C9orf91	-0.329035373167065	2.2062905204891	-0.331319802749921	0.0983350518503247	-0.585732448493206	-0.554183562734329	-0.504354385194905	DCs	1
CHRNB1	-0.953689583324885	2.08782557189414	-0.719176669659585	0.168614182672065	-0.371298582704905	-0.21888003593671	0.00660511705988299	DCs	1
BATF3	-0.874973139494292	1.99531203570925	-0.944589406834659	-0.20689393658927	-0.43330417886374	0.126184551002334	0.338264075070378	DCs	1
SOCS1	-0.655988989863753	2.16520458430155	-0.545041930437977	-0.127417442843331	-0.647495522030645	-0.350659044687362	0.161398345561515	DCs	1
RAB24	-0.946294270646072	2.09550728432958	-0.546752372456903	0.301774784803301	-0.321596188646364	-0.132871128461622	-0.449768108921924	DCs	1
