gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
GBP3	-0.479717851582207	1.82032972012238	-0.62509716415789	1.02641878539327	-0.570467492749027	-0.571785706875373	-0.59968029015115	PMNs	1
CXCL10	-0.603820043645859	1.68125955831681	-0.564868911727813	1.21989092786354	-0.550697316664288	-0.59261785539559	-0.589146358746802	PMNs	1
HK1	-0.675405915837931	1.55806634871688	-0.700621947567196	1.35086860035298	-0.403667407957798	-0.565125760524212	-0.564113917182731	PMNs	1
GSDMD	-0.700439482829073	1.72128266069452	-0.893849359310773	0.994886824403663	-0.847457081653545	-0.105855667772354	-0.168567893532441	PMNs	1
CMPK2	-0.399316861526769	2.26480505019573	-0.380769669555396	-0.266557843029771	-0.412728955780634	-0.41788465705959	-0.387547063243574	PMNs	1
PARP12	-0.400134153514093	2.26588952348995	-0.370562240280453	-0.290771411211412	-0.403711160552883	-0.389830567939401	-0.410879989991709	PMNs	1
FAM46A	-0.369323364625483	2.23603652601436	-0.616270106738331	-0.46467011639996	-0.11586488246721	-0.212029920113611	-0.457878135669761	PMNs	1
ISG15	-0.390561277481347	2.26715754195099	-0.390918097034135	-0.325931436439888	-0.379686726506142	-0.389165979300779	-0.390894025188703	PMNs	1
GNB4	-0.463728341425743	2.25887225849992	-0.400400613484149	-0.215991259282824	-0.45619252448955	-0.417500399060344	-0.305059120757313	PMNs	1
JUP	-0.251923044919573	2.21518262706501	0.0601440324371864	-0.538823525875795	-0.479659103043286	-0.518993228040862	-0.485927757622683	PMNs	1
KIAA0226	-0.296981040723574	2.24863728605997	-0.134271524703089	-0.420004290143926	-0.395276415767689	-0.53745597749714	-0.464648037224555	PMNs	1
ANKFY1	-0.463793385834517	2.24422344555312	-0.249705113396029	-0.1806104243696	-0.295685956166538	-0.456347972874262	-0.598080592912174	PMNs	1
APOBEC3F	-0.406057053341847	2.2553278653087	-0.330774160567599	-0.192915877906463	-0.338061632282967	-0.500939883832534	-0.486579257377292	PMNs	1
C19orf66	-0.420878853639918	2.26490238762869	-0.444233432257108	-0.317221639405287	-0.401193263120297	-0.372414077591013	-0.308961121615064	PMNs	1
GALM	-0.453577389412859	2.26164145117619	-0.483067836542856	-0.259318924404387	-0.357438314082223	-0.360494418454998	-0.347744568278872	PMNs	1
OAS2	-0.410374985957279	2.26505773327704	-0.402644047268878	-0.270931527011985	-0.385768072435594	-0.413170622965215	-0.382168477638086	PMNs	1
