GeneSymbol	Macs_IFN_B1a Macs_IFN_y	Macs_IL_10	Macs_IL_4 Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a Monos_IFN_y	Monos_IL_10	Monos_IL_4 Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a PMNs_IFN_y	PMNs_IL_4 PMNs_IL_13	Condition
GIMAP4	55.83333333	15.33333333	16.33333333	32	53	9	4.333333333	3	2	108.6666667	109.8333333	31.5	PMNs_IFN_B1a_PMNs_IFN_y
IFI16	48.83333333	58	21.5	118.6666667	99.66666667	100	69.16666667	48.33333333	17.66666667	251.6666667	254.1666667	70.5	PMNs_IFN_B1a_PMNs_IFN_y
IRF1	270.6666667	47.66666667	40.33333333	119	310.5	33	419.5	111.3333333	109.3333333	579.6666667	1051.166667	128	PMNs_IFN_B1a_PMNs_IFN_y
LIMK2	75	150.3333333	19.33333333	6.333333333	10.33333333	19	90.16666667	140.6666667	17.83333333	253	430.1666667	130.6666667	PMNs_IFN_B1a_PMNs_IFN_y
PSMB9	60.16666667	7.666666667	3.5	52.66666667	61.16666667	20.66666667	53.33333333	4.333333333	4	143.3333333	152.1666667	35.83333333	PMNs_IFN_B1a_PMNs_IFN_y
SECTM1	544	299	103.3333333	370.6666667	444.5	303	120.6666667	115.6666667	62	766.3333333	1053.833333	90.33333333	PMNs_IFN_B1a_PMNs_IFN_y
TIFA	24.33333333	18	15	12.66666667	25.66666667	24.66666667	53.5	27.66666667	29.16666667	109.3333333	300.5	63.33333333	PMNs_IFN_B1a_PMNs_IFN_y
ZNF200	6.666666667	6	2.666666667	8	9	6	6.166666667	8.333333333	3.333333333	19	30.83333333	6.333333333	PMNs_IFN_B1a_PMNs_IFN_y
ASF1B	4.333333333	11	8.5	1.333333333	2.833333333	4	2.166666667	0.333333333	0.666666667	1.333333333	2.166666667	15.83333333	PMNs_IL_4_PMNs_IL_13
BCL9	2.5	5	4.166666667	3	5	6	1.5	0.666666667	1.833333333	2	2.666666667	22.83333333	PMNs_IL_4_PMNs_IL_13
BMP6	1.166666667	5.333333333	2.5	0.666666667	1	1	4.333333333	15.33333333	4.5	11	20.5	25.66666667	PMNs_IL_4_PMNs_IL_13
C10orf128	5.333333333	4.333333333	25.16666667	7.666666667	19.66666667	17.66666667	19.5	14.66666667	39.16666667	40.33333333	60.5	98.33333333	PMNs_IL_4_PMNs_IL_13
C1RL	7.5	22.33333333	10	3	5.833333333	8	2.166666667	2	1	2.666666667	6.333333333	31.66666667	PMNs_IL_4_PMNs_IL_13
ERI1	12.66666667	24.66666667	24.33333333	15	23.83333333	28.33333333	6.333333333	7.666666667	7.833333333	24.33333333	29.66666667	81.5	PMNs_IL_4_PMNs_IL_13
FLJ23867	9.166666667	16.33333333	27.16666667	6	9.666666667	13	14.33333333	17	12.5	6	13.33333333	49.5	PMNs_IL_4_PMNs_IL_13
FRAT1	7.833333333	28	19.16666667	2	2.666666667	4.333333333	1.833333333	2.666666667	1.666666667	17	17.5	37.5	PMNs_IL_4_PMNs_IL_13
INAFM2	8.166666667	31.66666667	35.33333333	4.333333333	10.33333333	21	7	6.333333333	12.83333333	40.33333333	61.16666667	216.1666667	PMNs_IL_4_PMNs_IL_13
INHBB	0.166666667	0	0	0	0	0	0.333333333	0	0	0.333333333	1.333333333	15	PMNs_IL_4_PMNs_IL_13
MTMR10	21.5	58.33333333	52.66666667	26.66666667	34.16666667	56.33333333	15.5	13	11.16666667	19.33333333	30.5	88.5	PMNs_IL_4_PMNs_IL_13
NEK9	12.16666667	31	24.5	8.333333333	16.5	24.66666667	4.333333333	7.333333333	4	2	5.666666667	56	PMNs_IL_4_PMNs_IL_13
