B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE	sample
0	0.100174601333623	0	0	0.246347792805571	0	0	0.0893501463559627	0.0445360464697621	0	0.0798853158182861	0.0419335407481899	0	0.0491348001733862	0	0	0	0.0911127470387615	0	0.257525009256458	0	0	0.83	-0.0187212575514003	1.11989042092684	GSM1356763
0.163105693115586	0.0850665422318108	0	0	0.0583892631299967	0	0	0.06211463914423	0.0529333810218012	0.193746505167886	0	0	0	0	0.0408598524746222	0	0	0.107532412787557	0	0.234936435158323	0	0.00131527576818609	0.69	-0.00715879314060371	1.11196739623688	GSM1356764
0	0.179344954927039	0	0	0	0.0387482296980326	0	0.0220388430840851	0.0540650309554735	0	0.035240180344806	0	0.00125471080670242	0.319103665170032	0	0	0	0.0774425614106562	0	0.251941967627227	0	0.0208198559759473	0.56	0.00594912173006166	1.12915340678434	GSM1356765
0	0.0944006242946921	0.0672899999668117	0	0	0.151264682433413	0.00805981679993171	0	0.117687975519532	0.0388647520597968	0.0630670599038195	0	0.0383881575511967	0.171172999362107	0.0275840363538495	0.0644098843304186	0.0343766776096707	0	0.108639587958744	0	0	0.0147937458560166	0.79	-0.0162397643701981	1.08028736181055	GSM1356766
0.125352432430897	0	0.172484848002127	0	0	0.13097803756402	0	0.107027882996328	0.0318764419580466	0.140665649988825	0	0.0961300863368468	0	0.0330827731823616	0	0.0324857975369232	0	0.0314885085805637	0	0.0984275414230605	0	0	0.89	-0.0276333942111915	1.10280472808374	GSM1356767
0.309690775729642	0	0.199377115443278	0	0	0.0872967468634055	0.000158028032281823	0.0748797272541069	0	0.121238769342297	0.0181768955819995	0.0273475701369321	0	0	0	0.0444150786136765	0.0239068366433601	0	0.09351245635902	0	0	0	0.59	0.0040276336162093	1.08807863846237	GSM1356768
0	0.263225108330363	0	0.0447079251401997	0	0	0.012020965426377	0	0.0502457970837641	0.0617653912738442	0	0.0308185761261029	0	0.00103693691494684	0.0279667737229869	0	0	0.08308293990261	0.0467849431248816	0	0.187185875360622	0.191158767593302	0.5	0.0204201629567132	1.10439363491952	GSM1356769
0	0.0239035486882502	0	0	0	0	0	0.0970168030036563	0	0	0	0.0848987819014084	0	0	0.12118628916598	0	0	0.151196229464497	0	0.383535848422179	0.0222542345212272	0.116008264832802	0.09	0.0937582255468898	1.11032862623486	GSM1356770
0	0	0	0.22410602995121	0.0614585430474649	0	0.0591619075369107	0.161347222127258	0.0565706520426942	0	0	0	0	0.211988416330026	0	0	0	0.157867424933196	0.0674998040312405	0	0	0	0.89	-0.0250915729281593	1.12606496148522	GSM1356771
0	0	0.421524083054549	0.0278302051651367	0.0160572771825033	0.0388021224190582	0	0	0	0.119087304467556	0	0.0462065240055835	0.0103205480567076	0.0267878990371095	0.00697846160536016	0.0270447186637159	0	0	0.152955144628518	0	0.0698475526367201	0.0365581590774812	0.9	-0.0294143332733627	1.06653270893196	GSM1356772
0	0	0.0426790970856785	0	0.0423119774890455	0	0	0.12251164381121	0	0	0	0.0770479836857927	0.212421977826446	0.0247177544135714	0.118015905227584	0.132435565933292	0.0207531985028526	0	0.0704011723800315	0	0	0.136703723644497	0.48	0.0217830698463071	1.1011201853359	GSM1356773
0.272692729628997	0	0.168308226241744	0.194401232865847	0	0	0	0.0247411167463156	0	0.0823505904068048	0	0.0637562371817094	0	0	0	0.0234993460183669	0	0.0376880923333755	0	0.132562428576839	0	0	0.62	0.00160729581595728	1.10047224633462	GSM1356774
0	0.187184612261019	0.0317274822137396	0.00564511254178414	0	0.0400495078040303	0	0	0	0.0303642430737083	0.12371634553616	0	0.00962709394655821	0	0	0	0.166012967698117	0.0170253456524057	0	0.376147363810294	0.0124999254621843	0	0.46	0.0245983489246083	1.10864334860627	GSM1356775
0	0.0324046831524949	0.390603735856219	0	0.108974633253043	0	0.0150961819246761	0	0	0.134978059370355	0	0.0875532833725892	0	0	0	0	0.0288165090971842	0.0732629866397226	0.119243486504475	0	0	0.00906644082924116	0.55	0.00717261465451204	1.06079463803738	GSM1356776
0	0.000524923253163191	0.313778987222113	0.0552779328826941	0.0449223235953815	0	0	0	0.153151626872309	0	0.0469317855415357	0.0154701816691755	0.100700254657301	0.0868641337090906	0	0	0	0	0.172112401861755	0	0	0.0102654487354807	0.77	-0.0146372916411881	1.06169433307492	GSM1356777
0.029001559994476	0	0	0	0.454556483680497	0	0.0427015162481099	0	0	0	0.169005657553642	0	0.0876182063235927	0.0143201497747172	0	0	0	0	0.202796426424965	0	0	0	0.98	-0.055197549614609	1.15171026941327	GSM1356778
0	0	0	0	0.371949526872466	0	0	0.125783752859126	0	0	0.073763424431237	0	0	0	0.0206684630280386	0	0	0	0	0.407834832809133	0	0	0.83	-0.0186414160999237	1.1726291390299	GSM1356779
0	0.0426587239817079	0	0.155434247925189	0	0.0927092610811364	0.0835937994501725	0	0.0185616864537113	0	0.00976911505696768	0	0.0299368115545407	0.0810875918747909	0.00829473144135687	0.0850964030793766	0	0.0609171165982552	0.292092751951179	0	0	0.0398477595516153	0.87	-0.0223966009275607	1.09695514150041	GSM1356780
0.0416523710553939	0	0.396494784463331	0.132912051178782	0	0.0362588661843601	0.0403836122007759	0.0677854178260264	0	0.0896398312988634	0	0.0110913560401757	0.00429413154438641	0	0	0.00290232233651723	0.011512943697687	0	0.127943514853192	0	0.0371287973205091	0	0.18	0.0618507522532598	1.04118980168317	GSM1356781
0	0	0	0	0	0.234815109616138	0	0	0.103104562284046	0	0.111924219200977	0	0.077943083053112	0	0.060717820283863	0.0890040249190846	0.0740523048121358	0	0	0.200612596376975	0.018593659375941	0.029232620077727	0.93	-0.0348286835923687	1.10438779612457	GSM1356782
0.151360278437732	0	0.0571227566037933	0.0119753930010188	0	0.131087612413803	0	0.0139877298040634	0	0.116664860251403	0	0	0	0	0.0457860282725731	0.0269889059052282	0.0111575816616564	0	0	0.369742584588991	0.0192210464394478	0.0449052226202894	0.18	0.0619129774509995	1.09086857176898	GSM1356783
0	0.296214884204523	0	0	0.066199921979223	0.321546113036394	0.0435146635066043	0	0	0.125133595915098	0	0	0	0.0616243348027738	0	0	0.0212180100823827	0	0	0.0645484764730015	0	0	0.66	-0.00364589084574905	1.11831499331495	GSM1356784
0.314831890049173	0	0	0	0.169560860192285	0	0	0	0.00996026616748045	0.0970846765204646	0	0.0328913722006556	0	0	0.0372871913995613	0	0	0.00593278553005437	0	0.332450957940326	0	0	0.26	0.0436384500801998	1.11578618443207	GSM1356785
0.336721368171128	0	0.204225818893741	0.0799072904455152	0.011099916319669	0	0	0	0.0897760297697593	0.0791540825002253	0	0.0178153866625771	0	0	0	0.0117709758772854	0	0	0.130255063330827	0	0.0392740680292735	0	0.86	-0.0208652255021245	1.10277815778678	GSM1356786
0.0272973535054649	0	0	0	0	0.20619928798437	0	0	0	0.0421729815648168	0	0.0303846114518094	0	0	0.0780461864138331	0.0517575291948701	0	0.170488546248142	0	0.38237856721472	0.0112749364219734	0	0.1	0.0838649968862992	1.10112817560061	GSM1356787
0.118126490909179	0	0	0	0.0796995784787837	0	0	0	0.0061176929176873	0	0.101753683778875	0	0.154045568662145	0	0.0223777981559603	0.026264863186326	0.252980246316552	0	0.238634077594492	0	0	0	0.97	-0.0515446722184192	1.10703802222803	GSM1356788
0	0.23414019884338	0	0	0	0.153255235905228	0	0.0393522719035785	0	0	0.126642892327882	0	0.140207559630073	0.0616355102915866	0	0	0.140143417399662	0	0.10462291369861	0	0	0	0.96	-0.0429683819043998	1.09400673129219	GSM1356789
0	0.0594213979432848	0.035772891131451	0	0	0.0391091540973551	0	0	0.000102553763340122	0.169911861007053	0	0.0449793917344957	0	0	0	0	0.0318852395189106	0	0	0.449948947386415	0.168868563417694	0	0.15	0.0685016467128133	1.12612756193547	GSM1356790
0	0.189997729946437	0	0	0.0719433008495636	0	0	0	0.0182181223625019	0	0.0390429433166661	0.00691010931009114	0.125905113229592	0	0.122175391642234	0.063013866522538	0.161358770862043	0	0.201434651958333	0	0	0	0.82	-0.0175545148352024	1.0909388178403	GSM1356791
0	0	0.0262263179979248	0	0.201726988066104	0	0	0	0.214544091903274	0.019070146589006	0	0.0698594957227341	0	0.0409868695217127	0.0375143703586715	0	0	0.246308652416607	0.143763067423965	0	0	0	0.88	-0.023919906147335	1.12810148736711	GSM1356792
0.185222296801958	0	0.00417799835585793	0.414183537482343	0	0	0.0419799461327589	0.186891350945052	0	0	0	0.0453590124512265	0	0	0	0.020746720619958	0.0164254721797868	0	0.0801323927093022	0	0	0.00488127232175743	0.37	0.0318362838537345	1.13541323311312	GSM1356793
0.0568936297614014	0	0	0.311117843617103	0	0.05655037438933	0.0162978084882269	0.0570059406423863	0	0	0.013374270063745	0	0	0	0	0	0	0.00324992659823411	0	0.322644996026606	0.133019135229649	0.029846075183318	0.24	0.0500535749099814	1.10990241576828	GSM1356794
0	0.137376588885552	0	0	0	0.0593937462762832	0	0	0	0.0219208046479268	0.0826965360841764	0	0.0762536365742408	0	0	0.0720347765124232	0.150444431668378	0.0735588902297423	0.263379985533	0.0322189739279072	0.0145806175287268	0.0161410121316436	0.83	-0.0182661023307	1.09292750349205	GSM1356795
0.379392578200794	0	0	0.0235958466428396	0	0	0.0555637334161868	0.0796386894865947	0	0.0205651148462077	0	0.0268858043879945	0	0.0118522271990192	0	0.0210524599486894	0.142152085808824	0	0.23930146006285	0	0	0	0.14	0.0726772128616278	1.07503084030337	GSM1356796
0.1907466608522	0	0.0814046920589869	0	0	0.0889954203522172	0	0	0	0.0448248556540933	0	0.0139636600989873	0	0	0	0.00787106460284975	0	0.105553793578345	0	0.351802269286651	0.0669515221669831	0.0478860613486868	0.1	0.08742127337362	1.07382878146502	GSM1356797
0.243490667398794	0	0.343915752712067	0.0826182218350121	0	0.0491185664232913	0.0774663415997764	0	0	0.0730868849471635	0	0	0	0.0643533577549807	0	0	0	0	0	0	0.00930217800406826	0.0566480293248468	0.69	-0.00704030696671454	1.07240887416543	GSM1356798
0	0	0	0	0	0.134850029763319	0	0.136877730566082	0	0.0213812912404167	0	0.101663997119033	0	0	0.190614220657352	0	0	0.0571010750582957	0	0.260148953273194	0.0378559700608045	0.0595067322615028	0.04	0.144055859668494	1.06956458520309	GSM1356799
0.0238256746567727	0.0372423385989171	0.0514140963352138	0.172483405501401	0.2807852422184	0	0.0158928184504081	0	0.0320565563571684	0	0	0	0	0.0767503408261033	0	0	0	0.000727731774508892	0.308821795281107	0	0	0	0.19	0.0597759298866863	1.09080123554565	GSM1356800
0	0.193693310772166	0	0	0.352113447169218	0	0	0.176698689234092	0	0.0364427505057996	0.0729211550956522	0	0	0.00562732992797192	0	0	0	0	0	0.109584891545081	0.0529184257500187	0	0.83	-0.0185915125684238	1.1376286834231	GSM1356801
0	0.0606554986366484	0	0	0	0.161476806714831	0	0	0	0.0149083272034749	0	0	0	0	0.0519681573669825	0.0508288728564004	0	0.107683215039171	0	0.471841945347811	0.0267285816559916	0.0539085951786894	0.16	0.0663329205100196	1.12447685259117	GSM1356802
